Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Jimmy Walker,89,52.23,2015,301.6,66.09,28.7,57.71,70.268,"2,014",2,6,0.692,0.933,-0.161,0.334,0.068,4521350
Padraig Harrington,60,51.72,2015,290.5,61.02,29.15,57.01,71.95,610,1,1,-0.493,-0.756,-0.434,-0.165,0.336,1330852
Derek Fathauer,81,51.63,2015,288.8,61.33,28.39,57.46,71.431,263,,1,0.301,-0.173,-0.455,-0.198,0.179,482023
Matt Every,73,51.52,2015,286.6,58.1,28.67,55.87,72.419,727,1,1,0.075,-0.968,-0.925,-0.074,-0.044,1521816
Aaron Baddeley,76,50.29,2015,294.1,62.46,28.28,61,71.218,336,,1,0.722,-0.223,-0.596,-0.719,0.37,439925
David Toms,64,75.49,2014,275.1,68.73,29.29,61.6,70.35,498,,2,0.055,0.46,0.083,0.203,0.12,801355
Tim Clark,75,74.02,2014,272.2,64.3,28.81,59.34,70.738,"1,111",1,3,0.025,0.086,-0.286,0.253,0.094,2066344
Justin Hicks,103,73.46,2014,285.1,71.44,30.09,54.81,70.836,923,,3,0.069,0.066,0.456,0.172,-0.631,1544061
Jim Furyk,84,73.18,2014,279.3,68.75,28.96,69.33,69.2,"1,851",,8,0.091,1.796,0.121,1.175,0.408,5987395
Heath Slocum,71,72.41,2014,277.8,67.31,29.71,61.58,70.737,419,,1,-0.078,0.249,0.203,0.083,0.041,566167
Zach Johnson,97,70.51,2014,282.2,67.42,28.9,60.75,70.159,"1,552",1,5,0.106,0.857,0.145,0.513,0.093,3353417
Billy Hurley III,86,70.44,2014,276.7,65.89,29.38,61.36,70.696,630,,4,0.039,0.309,-0.103,0.25,0.123,1145299
Ken Duke,80,70.18,2014,275.5,67.17,29.54,57.48,71.137,305,,,-0.409,-0.178,-0.092,0.329,-0.006,455589
Ryan Moore,86,69.92,2014,284.7,67.99,29.05,57.64,70.344,"1,429",1,7,0.042,0.836,0.253,0.499,0.041,3098263
Boo Weekley,73,69.57,2014,288.3,68.06,30.56,53.14,71.307,496,,1,-1.152,-0.277,0.732,0.044,0.099,832673
"Ted Potter, Jr.",68,69.56,2014,278.4,65.11,29.31,62.76,71.087,311,,,-0.216,-0.09,0.134,0.096,-0.104,386341
Graeme McDowell,66,69.2,2014,278,65.77,28.56,60.47,69.642,948,,8,0.882,1.171,-0.034,0.379,-0.055,2077387
Jeff Maggert,54,68.83,2014,276.6,65.74,29.98,58.26,71.612,195,,1,-0.652,-0.748,-0.135,0.2,-0.161,360157
Henrik Stenson,56,68.78,2014,293.2,69.03,29.89,51.83,70.166,720,,3,-0.17,0.992,0.65,0.575,-0.064,1894235
John Merrick,87,68.62,2014,285.3,68.07,30.12,50.31,71.852,399,,,-0.568,-0.517,0.129,0.252,-0.329,516148
Kevin Streelman,79,68.04,2014,288.6,63.25,29,54.07,71.354,972,1,2,0.006,0.074,0.471,-0.242,-0.162,2107994
Brendon de Jonge,109,67.87,2014,287.9,64.48,29.06,57.1,70.801,717,,2,-0.032,0.224,0.339,-0.012,-0.071,1171395
Russell Knox,92,67.6,2014,285.7,68,29.24,63.4,70.111,885,,3,-0.116,0.822,0.221,0.502,0.215,1513630
David Hearn,97,67.48,2014,279.1,66.38,29.02,60.99,70.83,645,,3,0.315,0.451,-0.118,0.146,0.108,1138324
Matt Kuchar,91,67.37,2014,283.8,66.92,28.74,62.4,69.416,"1,921",1,10,0.457,1.573,0.21,0.527,0.38,4695515
Brian Davis,93,67.23,2014,278.2,61.47,28.59,61.55,71.232,534,,,0.145,0.061,-0.064,-0.419,0.399,842539
Nicholas Thompson,85,67.08,2014,287,66.67,30.33,52.88,71.657,437,,1,-0.622,-0.517,0.174,0.301,-0.371,713377
Billy Horschel,92,67.04,2014,291.6,70.43,29.86,55.32,70.521,722,,2,0.22,0.738,0.473,0.132,-0.087,4814787
Mark Wilson,69,67,2014,279.6,63.25,29.77,55.58,71.732,142,,,-0.539,-0.804,-0.232,-0.112,0.079,155313
John Huh,87,66.87,2014,283.9,64.39,29.43,57.52,71.24,544,,2,-0.159,-0.169,-0.059,0.016,0.033,974043
Scott Brown,100,66.55,2014,287.2,65,28.78,58.73,70.936,816,,4,0.211,0.345,0.277,-0.139,-0.005,1441725
Jerry Kelly,80,66.49,2014,277.5,65.56,28.55,62.1,70.349,765,,4,0.239,0.527,-0.089,0.218,0.16,1451059
D.H. Lee,54,66.47,2014,276.2,59.89,29.14,58.73,71.914,94,,,0.024,-0.796,-0.332,-0.591,0.103,138642
Ben Crane,81,66.4,2014,279,63.44,28.78,59.1,70.954,774,1,2,0.138,-0.152,-0.297,-0.009,0.017,1534634
Daniel Summerhays,98,66.3,2014,282.2,66.89,29.16,58.22,70.566,869,,2,0.492,0.675,0.04,0.138,0.005,1509543
Brian Stuard,91,66.14,2014,283.4,63.86,28.54,60.42,70.549,891,,4,0.283,0.326,-0.034,0.195,-0.119,1852531
Andrew Svoboda,77,66.14,2014,287.4,68.11,29.7,59.05,70.713,647,,2,-0.026,0.344,0.111,0.323,-0.064,1168073
William McGirt,96,65.94,2014,278.5,64.41,28.71,59.02,70.712,646,,3,0.314,0.079,0.002,-0.202,-0.035,1275738
Y.E. Yang,79,65.41,2014,281.9,61.68,29.06,56.69,71.712,234,,,-0.073,-0.536,-0.097,-0.586,0.22,254525
Chad Campbell,57,65.36,2014,287.8,72.43,30.25,60.08,70.59,317,,1,-0.434,0.275,0.056,0.641,0.011,470798
Hunter Mahan,88,65.1,2014,295.8,66.67,29.33,54.71,70.574,776,,5,0.207,0.52,0.687,-0.221,-0.153,3097983
Danny Lee,84,65.05,2014,284.2,64.44,29.16,57.62,70.802,490,,1,0.141,0.018,0.157,-0.007,-0.272,781295
Justin Leonard,75,65.04,2014,270.3,57.78,27.77,64.56,70.895,491,,2,0.496,-0.181,-0.752,-0.497,0.571,807949
Jason Bohn,81,64.95,2014,280,64.75,28.84,56.03,70.892,784,,3,0.126,-0.127,-0.475,0.185,0.038,1585189
Spencer Levin,59,64.92,2014,280.1,64.31,29.17,59.89,71.086,246,,,-0.094,-0.324,-0.224,-0.113,0.107,277780
Kevin Chappell,100,64.9,2014,296.2,67.59,29.11,57.32,70.466,723,,1,-0.278,0.692,0.386,0.526,0.058,1343412
Brendon Todd,108,64.85,2014,280.3,63.99,28.32,63.57,70.049,"1,542",1,7,0.664,0.793,0.015,-0.174,0.289,3396747
Ben Curtis,77,64.8,2014,279.5,62.63,28.95,56.62,71.354,406,,1,0.4,-0.216,-0.257,-0.416,0.057,625515
Will MacKenzie,82,64.5,2014,290.6,65.58,29.02,55.91,70.685,920,,5,0.154,0.224,0.044,-0.041,0.067,1853822
Derek Ernst,80,64.41,2014,297,63.52,29.92,51.3,72.593,218,,,-0.558,-1.356,0.312,-0.694,-0.415,305654
J.J. Henry,91,64.39,2014,290.7,69.6,30.33,56.72,71.064,425,,,-0.187,-0.219,0.192,-0.119,-0.105,554615
Ben Martin,80,64.34,2014,291.7,66.04,28.93,59.1,70.732,789,,3,0.291,0.421,0.213,-0.097,0.015,1482836
Kevin Na,94,64.32,2014,280.3,64.72,28.46,65.16,69.996,"1,413",,5,0.315,0.954,-0.1,0.341,0.397,3153107
Kevin Stadler,90,64.28,2014,291.6,68.91,29.76,53.41,70.62,"1,067",1,3,-0.467,0.411,0.505,0.386,-0.012,2300307
Hudson Swafford,75,64.28,2014,297.5,68.78,30.18,52.63,71.167,351,,1,-0.2,-0.316,0.305,0.015,-0.436,513883
John Senden,99,64.25,2014,288.9,67.85,29.17,60.21,70.27,"1,157",1,4,0.476,0.805,0.224,0.127,-0.023,2856685
K.J. Choi,80,64.22,2014,279.8,62.08,28.81,56.78,70.87,814,,2,0.332,0.293,-0.339,0.049,0.251,1677848
Shawn Stefani,60,64.17,2014,297.7,66.2,29.3,59.45,70.609,640,,2,-0.146,0.418,0.412,0.065,0.086,1369259
Lucas Glover,68,64.02,2014,300.6,67,30.85,49.74,72.233,129,,,-1.475,-0.936,0.335,0.469,-0.265,210166
John Peterson,62,64,2014,288.1,65.56,29.9,55.91,71.47,170,,,-0.819,-0.48,0.415,0.539,-0.614,238230
Nick Watney,80,63.97,2014,295.8,67.33,29.69,56.01,70.756,584,,2,-0.075,0.613,0.298,0.648,-0.258,913398
Chris Stroud,88,63.93,2014,285.8,65.21,28.35,61.89,70.476,834,,4,0.182,0.418,-0.174,0.132,0.278,1826399
Cameron Tringale,111,63.87,2014,282.9,66.77,29.17,59.34,70.63,781,,2,0.107,0.668,0.008,0.322,0.23,2169723
Jason Dufner,57,63.76,2014,285.3,66.26,29.67,52.74,70.9,798,,4,-0.576,0.522,0.316,0.59,0.192,1651491
Briny Baird,50,63.7,2014,281.6,63.44,29.58,56.84,71.679,366,,1,-0.156,-0.575,-0.249,-0.183,0.013,616316
Brandt Snedeker,89,63.7,2014,285.6,63.28,28.74,59.48,70.671,812,,3,0.326,0.644,-0.043,0.143,0.217,1652380
Russell Henley,92,63.67,2014,293.7,61.84,28.92,52.37,71.379,864,1,2,0.332,-0.106,0.205,-0.371,-0.272,2590493
Roberto Castro,76,62.95,2014,283.9,60.44,29.12,55.79,71.617,387,,1,-0.384,-0.3,-0.122,-0.159,0.365,615933
Bill Haas,107,62.94,2014,291.9,68.62,29.33,60.37,70.132,"1,268",,4,0.147,1.09,0.296,0.382,0.265,2841521
Bo Van Pelt,83,62.83,2014,291.3,68.61,29.6,57.78,70.827,518,,1,-0.053,0.378,0.048,0.468,-0.085,982218
Chris Kirk,105,62.78,2014,291,63.46,28.44,63.3,70.15,"1,571",1,3,0.374,0.862,0.033,0.287,0.169,4854777
Luke Donald,57,62.56,2014,278.1,63,28.59,60.59,70.735,743,,3,0.517,0.69,-0.493,0.315,0.351,1451440
D.A. Points,75,62.56,2014,284.5,62.71,29.82,53.88,72.239,206,,,-0.344,-1.097,-0.424,-0.308,-0.021,364653
Keegan Bradley,89,62.36,2014,302.2,66.67,28.88,62.31,70.031,"1,278",,6,0.254,0.994,0.43,0.5,-0.19,2828638
Webb Simpson,87,62.24,2014,288.5,65.28,28.83,59.05,70.234,"1,536",1,8,0.3,0.88,-0.027,0.333,0.275,3539601
George McNeill,79,62.22,2014,286.1,66.17,28.9,58.21,70.248,962,,4,0.271,0.799,-0.061,0.537,0.053,2014357
Michael Thompson,74,62.22,2014,289.2,65.69,29.09,58.42,71.194,515,,1,0.466,0.149,-0.211,-0.046,-0.06,932300
Sergio Garcia,61,62.19,2014,294.3,68.68,28.59,66.67,68.95,"1,700",,8,0.167,1.984,0.382,1.15,0.286,4939606
Jim Herman,62,62.18,2014,294.7,66.38,29.74,54.7,71.619,142,,,-0.362,-0.85,0.302,-0.238,-0.551,187337
Graham DeLaet,80,62.07,2014,303.4,70.68,29.75,58.75,69.943,"1,113",,7,-0.093,1.168,0.36,0.895,0.007,2616518
Brian Gay,81,61.99,2014,271.6,59.21,28.16,65.69,71.493,375,,1,0.268,-0.465,-0.508,-0.501,0.276,605368
Richard Lee,80,61.86,2014,285.1,59.97,28.37,61.21,71.528,376,,2,0.446,-0.432,-0.15,-0.75,0.021,618443
